001\RGB\1_00.png 001\RGB\2_00.png 001\GT\mask00.png
018\RGB\1_02.png 018\RGB\2_02.png 018\GT\mask02.png
018\RGB\1_03.png 018\RGB\2_03.png 018\GT\mask03.png
018\RGB\1_04.png 018\RGB\2_04.png 018\GT\mask04.png
018\RGB\1_05.png 018\RGB\2_05.png 018\GT\mask05.png
018\RGB\1_06.png 018\RGB\2_06.png 018\GT\mask06.png
018\RGB\1_07.png 018\RGB\2_07.png 018\GT\mask07.png
018\RGB\1_08.png 018\RGB\2_08.png 018\GT\mask08.png
018\RGB\1_09.png 018\RGB\2_09.png 018\GT\mask09.png
018\RGB\1_10.png 018\RGB\2_10.png 018\GT\mask10.png
018\RGB\1_11.png 018\RGB\2_11.png 018\GT\mask11.png
018\RGB\1_12.png 018\RGB\2_12.png 018\GT\mask12.png
018\RGB\1_13.png 018\RGB\2_13.png 018\GT\mask13.png
018\RGB\1_14.png 018\RGB\2_14.png 018\GT\mask14.png
019\RGB\1_00.png 019\RGB\2_00.png 019\GT\mask00.png
019\RGB\1_01.png 019\RGB\2_01.png 019\GT\mask01.png
019\RGB\1_02.png 019\RGB\2_02.png 019\GT\mask02.png
019\RGB\1_03.png 019\RGB\2_03.png 019\GT\mask03.png
020\RGB\1_00.png 020\RGB\2_00.png 020\GT\mask00.png
020\RGB\1_01.png 020\RGB\2_01.png 020\GT\mask01.png
021\RGB\1_00.png 021\RGB\2_00.png 021\GT\mask00.png
021\RGB\1_01.png 021\RGB\2_01.png 021\GT\mask01.png
021\RGB\1_02.png 021\RGB\2_02.png 021\GT\mask02.png
021\RGB\1_03.png 021\RGB\2_03.png 021\GT\mask03.png
021\RGB\1_04.png 021\RGB\2_04.png 021\GT\mask04.png
021\RGB\1_05.png 021\RGB\2_05.png 021\GT\mask05.png
021\RGB\1_06.png 021\RGB\2_06.png 021\GT\mask06.png
021\RGB\1_07.png 021\RGB\2_07.png 021\GT\mask07.png
021\RGB\1_08.png 021\RGB\2_08.png 021\GT\mask08.png
021\RGB\1_09.png 021\RGB\2_09.png 021\GT\mask09.png
022\RGB\1_00.png 022\RGB\2_00.png 022\GT\mask00.png
022\RGB\1_01.png 022\RGB\2_01.png 022\GT\mask01.png
022\RGB\1_02.png 022\RGB\2_02.png 022\GT\mask02.png
022\RGB\1_03.png 022\RGB\2_03.png 022\GT\mask03.png
022\RGB\1_04.png 022\RGB\2_04.png 022\GT\mask04.png
022\RGB\1_05.png 022\RGB\2_05.png 022\GT\mask05.png
022\RGB\1_06.png 022\RGB\2_06.png 022\GT\mask06.png
022\RGB\1_07.png 022\RGB\2_07.png 022\GT\mask07.png
026\RGB\1_00.png 026\RGB\2_00.png 026\GT\mask00.png
026\RGB\1_01.png 026\RGB\2_01.png 026\GT\mask01.png
026\RGB\1_02.png 026\RGB\2_02.png 026\GT\mask02.png
026\RGB\1_03.png 026\RGB\2_03.png 026\GT\mask03.png
029\RGB\1_00.png 029\RGB\2_00.png 029\GT\mask00.png
029\RGB\1_01.png 029\RGB\2_01.png 029\GT\mask01.png
029\RGB\1_02.png 029\RGB\2_02.png 029\GT\mask02.png
029\RGB\1_03.png 029\RGB\2_03.png 029\GT\mask03.png
029\RGB\1_04.png 029\RGB\2_04.png 029\GT\mask04.png
029\RGB\1_05.png 029\RGB\2_05.png 029\GT\mask05.png
029\RGB\1_06.png 029\RGB\2_06.png 029\GT\mask06.png
029\RGB\1_07.png 029\RGB\2_07.png 029\GT\mask07.png
029\RGB\1_08.png 029\RGB\2_08.png 029\GT\mask08.png
029\RGB\1_09.png 029\RGB\2_09.png 029\GT\mask09.png
029\RGB\1_10.png 029\RGB\2_10.png 029\GT\mask10.png
029\RGB\1_11.png 029\RGB\2_11.png 029\GT\mask11.png
029\RGB\1_12.png 029\RGB\2_12.png 029\GT\mask12.png
030\RGB\1_00.png 030\RGB\2_00.png 030\GT\mask00.png
030\RGB\1_01.png 030\RGB\2_01.png 030\GT\mask01.png
030\RGB\1_02.png 030\RGB\2_02.png 030\GT\mask02.png
030\RGB\1_03.png 030\RGB\2_03.png 030\GT\mask03.png
030\RGB\1_04.png 030\RGB\2_04.png 030\GT\mask04.png
030\RGB\1_05.png 030\RGB\2_05.png 030\GT\mask05.png
030\RGB\1_06.png 030\RGB\2_06.png 030\GT\mask06.png
030\RGB\1_07.png 030\RGB\2_07.png 030\GT\mask07.png
030\RGB\1_08.png 030\RGB\2_08.png 030\GT\mask08.png
030\RGB\1_09.png 030\RGB\2_09.png 030\GT\mask09.png
031\RGB\1_00.png 031\RGB\2_00.png 031\GT\mask00.png
031\RGB\1_01.png 031\RGB\2_01.png 031\GT\mask01.png
031\RGB\1_02.png 031\RGB\2_02.png 031\GT\mask02.png
033\RGB\1_00.png 033\RGB\2_00.png 033\GT\mask00.png
033\RGB\1_01.png 033\RGB\2_01.png 033\GT\mask01.png
033\RGB\1_02.png 033\RGB\2_02.png 033\GT\mask02.png
033\RGB\1_03.png 033\RGB\2_03.png 033\GT\mask03.png
033\RGB\1_04.png 033\RGB\2_04.png 033\GT\mask04.png
033\RGB\1_05.png 033\RGB\2_05.png 033\GT\mask05.png
033\RGB\1_06.png 033\RGB\2_06.png 033\GT\mask06.png
033\RGB\1_07.png 033\RGB\2_07.png 033\GT\mask07.png
033\RGB\1_08.png 033\RGB\2_08.png 033\GT\mask08.png
033\RGB\1_09.png 033\RGB\2_09.png 033\GT\mask09.png
035\RGB\1_00.png 035\RGB\2_00.png 035\GT\mask00.png
035\RGB\1_01.png 035\RGB\2_01.png 035\GT\mask01.png
035\RGB\1_02.png 035\RGB\2_02.png 035\GT\mask02.png
035\RGB\1_03.png 035\RGB\2_03.png 035\GT\mask03.png
035\RGB\1_04.png 035\RGB\2_04.png 035\GT\mask04.png
035\RGB\1_05.png 035\RGB\2_05.png 035\GT\mask05.png
037\RGB\1_00.png 037\RGB\2_00.png 037\GT\mask00.png
037\RGB\1_01.png 037\RGB\2_01.png 037\GT\mask01.png
040\RGB\1_00.png 040\RGB\2_00.png 040\GT\mask00.png
040\RGB\1_01.png 040\RGB\2_01.png 040\GT\mask01.png
040\RGB\1_02.png 040\RGB\2_02.png 040\GT\mask02.png
040\RGB\1_03.png 040\RGB\2_03.png 040\GT\mask03.png
040\RGB\1_04.png 040\RGB\2_04.png 040\GT\mask04.png
041\RGB\1_00.png 041\RGB\2_00.png 041\GT\mask00.png
041\RGB\1_01.png 041\RGB\2_01.png 041\GT\mask01.png
041\RGB\1_02.png 041\RGB\2_02.png 041\GT\mask02.png
041\RGB\1_03.png 041\RGB\2_03.png 041\GT\mask03.png
041\RGB\1_04.png 041\RGB\2_04.png 041\GT\mask04.png
041\RGB\1_05.png 041\RGB\2_05.png 041\GT\mask05.png
041\RGB\1_06.png 041\RGB\2_06.png 041\GT\mask06.png
041\RGB\1_07.png 041\RGB\2_07.png 041\GT\mask07.png
042\RGB\1_00.png 042\RGB\2_00.png 042\GT\mask00.png
042\RGB\1_01.png 042\RGB\2_01.png 042\GT\mask01.png
042\RGB\1_02.png 042\RGB\2_02.png 042\GT\mask02.png
042\RGB\1_03.png 042\RGB\2_03.png 042\GT\mask03.png
042\RGB\1_04.png 042\RGB\2_04.png 042\GT\mask04.png
042\RGB\1_05.png 042\RGB\2_05.png 042\GT\mask05.png
043\RGB\1_00.png 043\RGB\2_00.png 043\GT\mask00.png
043\RGB\1_01.png 043\RGB\2_01.png 043\GT\mask01.png
043\RGB\1_02.png 043\RGB\2_02.png 043\GT\mask02.png
043\RGB\1_03.png 043\RGB\2_03.png 043\GT\mask03.png
043\RGB\1_04.png 043\RGB\2_04.png 043\GT\mask04.png
043\RGB\1_05.png 043\RGB\2_05.png 043\GT\mask05.png
043\RGB\1_06.png 043\RGB\2_06.png 043\GT\mask06.png
043\RGB\1_07.png 043\RGB\2_07.png 043\GT\mask07.png
043\RGB\1_08.png 043\RGB\2_08.png 043\GT\mask08.png
043\RGB\1_09.png 043\RGB\2_09.png 043\GT\mask09.png
043\RGB\1_10.png 043\RGB\2_10.png 043\GT\mask10.png
044\RGB\1_00.png 044\RGB\2_00.png 044\GT\mask00.png
044\RGB\1_01.png 044\RGB\2_01.png 044\GT\mask01.png
044\RGB\1_02.png 044\RGB\2_02.png 044\GT\mask02.png
044\RGB\1_03.png 044\RGB\2_03.png 044\GT\mask03.png
046\RGB\1_00.png 046\RGB\2_00.png 046\GT\mask00.png
046\RGB\1_01.png 046\RGB\2_01.png 046\GT\mask01.png
046\RGB\1_02.png 046\RGB\2_02.png 046\GT\mask02.png
049\RGB\1_00.png 049\RGB\2_00.png 049\GT\mask00.png
049\RGB\1_01.png 049\RGB\2_01.png 049\GT\mask01.png
049\RGB\1_02.png 049\RGB\2_02.png 049\GT\mask02.png
049\RGB\1_03.png 049\RGB\2_03.png 049\GT\mask03.png
049\RGB\1_04.png 049\RGB\2_04.png 049\GT\mask04.png
049\RGB\1_05.png 049\RGB\2_05.png 049\GT\mask05.png
049\RGB\1_06.png 049\RGB\2_06.png 049\GT\mask06.png
049\RGB\1_07.png 049\RGB\2_07.png 049\GT\mask07.png
049\RGB\1_08.png 049\RGB\2_08.png 049\GT\mask08.png
049\RGB\1_09.png 049\RGB\2_09.png 049\GT\mask09.png
049\RGB\1_10.png 049\RGB\2_10.png 049\GT\mask10.png
049\RGB\1_11.png 049\RGB\2_11.png 049\GT\mask11.png
049\RGB\1_12.png 049\RGB\2_12.png 049\GT\mask12.png
049\RGB\1_13.png 049\RGB\2_13.png 049\GT\mask13.png
049\RGB\1_14.png 049\RGB\2_14.png 049\GT\mask14.png
049\RGB\1_15.png 049\RGB\2_15.png 049\GT\mask15.png
051\RGB\1_00.png 051\RGB\2_00.png 051\GT\mask00.png
051\RGB\1_01.png 051\RGB\2_01.png 051\GT\mask01.png
051\RGB\1_02.png 051\RGB\2_02.png 051\GT\mask02.png
051\RGB\1_03.png 051\RGB\2_03.png 051\GT\mask03.png
051\RGB\1_04.png 051\RGB\2_04.png 051\GT\mask04.png
051\RGB\1_05.png 051\RGB\2_05.png 051\GT\mask05.png
051\RGB\1_06.png 051\RGB\2_06.png 051\GT\mask06.png
051\RGB\1_07.png 051\RGB\2_07.png 051\GT\mask07.png
052\RGB\1_00.png 052\RGB\2_00.png 052\GT\mask00.png
052\RGB\1_01.png 052\RGB\2_01.png 052\GT\mask01.png
052\RGB\1_02.png 052\RGB\2_02.png 052\GT\mask02.png
052\RGB\1_03.png 052\RGB\2_03.png 052\GT\mask03.png
052\RGB\1_04.png 052\RGB\2_04.png 052\GT\mask04.png
052\RGB\1_05.png 052\RGB\2_05.png 052\GT\mask05.png
052\RGB\1_06.png 052\RGB\2_06.png 052\GT\mask06.png
052\RGB\1_07.png 052\RGB\2_07.png 052\GT\mask07.png
052\RGB\1_08.png 052\RGB\2_08.png 052\GT\mask08.png
052\RGB\1_09.png 052\RGB\2_09.png 052\GT\mask09.png
052\RGB\1_10.png 052\RGB\2_10.png 052\GT\mask10.png
052\RGB\1_11.png 052\RGB\2_11.png 052\GT\mask11.png
052\RGB\1_12.png 052\RGB\2_12.png 052\GT\mask12.png
052\RGB\1_13.png 052\RGB\2_13.png 052\GT\mask13.png
052\RGB\1_14.png 052\RGB\2_14.png 052\GT\mask14.png
053\RGB\1_00.png 053\RGB\2_00.png 053\GT\mask00.png
053\RGB\1_01.png 053\RGB\2_01.png 053\GT\mask01.png
053\RGB\1_02.png 053\RGB\2_02.png 053\GT\mask02.png
053\RGB\1_03.png 053\RGB\2_03.png 053\GT\mask03.png
053\RGB\1_04.png 053\RGB\2_04.png 053\GT\mask04.png
053\RGB\1_05.png 053\RGB\2_05.png 053\GT\mask05.png
053\RGB\1_06.png 053\RGB\2_06.png 053\GT\mask06.png
053\RGB\1_07.png 053\RGB\2_07.png 053\GT\mask07.png
054\RGB\1_00.png 054\RGB\2_00.png 054\GT\mask00.png
054\RGB\1_01.png 054\RGB\2_01.png 054\GT\mask01.png
054\RGB\1_02.png 054\RGB\2_02.png 054\GT\mask02.png
054\RGB\1_03.png 054\RGB\2_03.png 054\GT\mask03.png
054\RGB\1_04.png 054\RGB\2_04.png 054\GT\mask04.png
054\RGB\1_05.png 054\RGB\2_05.png 054\GT\mask05.png
054\RGB\1_06.png 054\RGB\2_06.png 054\GT\mask06.png
054\RGB\1_07.png 054\RGB\2_07.png 054\GT\mask07.png
054\RGB\1_08.png 054\RGB\2_08.png 054\GT\mask08.png
054\RGB\1_09.png 054\RGB\2_09.png 054\GT\mask09.png
054\RGB\1_10.png 054\RGB\2_10.png 054\GT\mask10.png
054\RGB\1_11.png 054\RGB\2_11.png 054\GT\mask11.png
054\RGB\1_12.png 054\RGB\2_12.png 054\GT\mask12.png
054\RGB\1_13.png 054\RGB\2_13.png 054\GT\mask13.png
054\RGB\1_14.png 054\RGB\2_14.png 054\GT\mask14.png
055\RGB\1_00.png 055\RGB\2_00.png 055\GT\mask00.png
055\RGB\1_01.png 055\RGB\2_01.png 055\GT\mask01.png
055\RGB\1_02.png 055\RGB\2_02.png 055\GT\mask02.png
055\RGB\1_03.png 055\RGB\2_03.png 055\GT\mask03.png
055\RGB\1_04.png 055\RGB\2_04.png 055\GT\mask04.png
055\RGB\1_05.png 055\RGB\2_05.png 055\GT\mask05.png
055\RGB\1_06.png 055\RGB\2_06.png 055\GT\mask06.png
055\RGB\1_07.png 055\RGB\2_07.png 055\GT\mask07.png
055\RGB\1_08.png 055\RGB\2_08.png 055\GT\mask08.png
055\RGB\1_09.png 055\RGB\2_09.png 055\GT\mask09.png
055\RGB\1_10.png 055\RGB\2_10.png 055\GT\mask10.png
055\RGB\1_11.png 055\RGB\2_11.png 055\GT\mask11.png
055\RGB\1_12.png 055\RGB\2_12.png 055\GT\mask12.png
055\RGB\1_13.png 055\RGB\2_13.png 055\GT\mask13.png
055\RGB\1_14.png 055\RGB\2_14.png 055\GT\mask14.png
055\RGB\1_15.png 055\RGB\2_15.png 055\GT\mask15.png
057\RGB\1_00.png 057\RGB\2_00.png 057\GT\mask00.png
057\RGB\1_01.png 057\RGB\2_01.png 057\GT\mask01.png
057\RGB\1_02.png 057\RGB\2_02.png 057\GT\mask02.png
057\RGB\1_03.png 057\RGB\2_03.png 057\GT\mask03.png
057\RGB\1_04.png 057\RGB\2_04.png 057\GT\mask04.png
059\RGB\1_00.png 059\RGB\2_00.png 059\GT\mask00.png
059\RGB\1_01.png 059\RGB\2_01.png 059\GT\mask01.png
059\RGB\1_02.png 059\RGB\2_02.png 059\GT\mask02.png
059\RGB\1_03.png 059\RGB\2_03.png 059\GT\mask03.png
059\RGB\1_04.png 059\RGB\2_04.png 059\GT\mask04.png
059\RGB\1_05.png 059\RGB\2_05.png 059\GT\mask05.png
059\RGB\1_06.png 059\RGB\2_06.png 059\GT\mask06.png
059\RGB\1_07.png 059\RGB\2_07.png 059\GT\mask07.png
059\RGB\1_08.png 059\RGB\2_08.png 059\GT\mask08.png
059\RGB\1_09.png 059\RGB\2_09.png 059\GT\mask09.png
062\RGB\1_00.png 062\RGB\2_00.png 062\GT\mask00.png
062\RGB\1_01.png 062\RGB\2_01.png 062\GT\mask01.png
062\RGB\1_02.png 062\RGB\2_02.png 062\GT\mask02.png
062\RGB\1_03.png 062\RGB\2_03.png 062\GT\mask03.png
062\RGB\1_04.png 062\RGB\2_04.png 062\GT\mask04.png
062\RGB\1_05.png 062\RGB\2_05.png 062\GT\mask05.png
062\RGB\1_06.png 062\RGB\2_06.png 062\GT\mask06.png
062\RGB\1_07.png 062\RGB\2_07.png 062\GT\mask07.png
062\RGB\1_08.png 062\RGB\2_08.png 062\GT\mask08.png
062\RGB\1_09.png 062\RGB\2_09.png 062\GT\mask09.png
062\RGB\1_10.png 062\RGB\2_10.png 062\GT\mask10.png
062\RGB\1_11.png 062\RGB\2_11.png 062\GT\mask11.png
063\RGB\1_00.png 063\RGB\2_00.png 063\GT\mask00.png
063\RGB\1_01.png 063\RGB\2_01.png 063\GT\mask01.png
063\RGB\1_02.png 063\RGB\2_02.png 063\GT\mask02.png
063\RGB\1_03.png 063\RGB\2_03.png 063\GT\mask03.png
063\RGB\1_04.png 063\RGB\2_04.png 063\GT\mask04.png
063\RGB\1_05.png 063\RGB\2_05.png 063\GT\mask05.png
063\RGB\1_06.png 063\RGB\2_06.png 063\GT\mask06.png
063\RGB\1_07.png 063\RGB\2_07.png 063\GT\mask07.png
063\RGB\1_08.png 063\RGB\2_08.png 063\GT\mask08.png
063\RGB\1_09.png 063\RGB\2_09.png 063\GT\mask09.png
063\RGB\1_10.png 063\RGB\2_10.png 063\GT\mask10.png
063\RGB\1_11.png 063\RGB\2_11.png 063\GT\mask11.png
063\RGB\1_12.png 063\RGB\2_12.png 063\GT\mask12.png
063\RGB\1_13.png 063\RGB\2_13.png 063\GT\mask13.png
065\RGB\1_00.png 065\RGB\2_00.png 065\GT\mask00.png
065\RGB\1_01.png 065\RGB\2_01.png 065\GT\mask01.png
065\RGB\1_02.png 065\RGB\2_02.png 065\GT\mask02.png
065\RGB\1_03.png 065\RGB\2_03.png 065\GT\mask03.png
067\RGB\1_00.png 067\RGB\2_00.png 067\GT\mask00.png
067\RGB\1_01.png 067\RGB\2_01.png 067\GT\mask01.png
068\RGB\1_00.png 068\RGB\2_00.png 068\GT\mask00.png
068\RGB\1_01.png 068\RGB\2_01.png 068\GT\mask01.png
068\RGB\1_02.png 068\RGB\2_02.png 068\GT\mask02.png
068\RGB\1_03.png 068\RGB\2_03.png 068\GT\mask03.png
068\RGB\1_04.png 068\RGB\2_04.png 068\GT\mask04.png
068\RGB\1_05.png 068\RGB\2_05.png 068\GT\mask05.png
068\RGB\1_06.png 068\RGB\2_06.png 068\GT\mask06.png
068\RGB\1_07.png 068\RGB\2_07.png 068\GT\mask07.png
068\RGB\1_08.png 068\RGB\2_08.png 068\GT\mask08.png
068\RGB\1_09.png 068\RGB\2_09.png 068\GT\mask09.png
068\RGB\1_10.png 068\RGB\2_10.png 068\GT\mask10.png
068\RGB\1_11.png 068\RGB\2_11.png 068\GT\mask11.png
070\RGB\1_00.png 070\RGB\2_00.png 070\GT\mask00.png
070\RGB\1_01.png 070\RGB\2_01.png 070\GT\mask01.png
070\RGB\1_02.png 070\RGB\2_02.png 070\GT\mask02.png
070\RGB\1_03.png 070\RGB\2_03.png 070\GT\mask03.png
070\RGB\1_04.png 070\RGB\2_04.png 070\GT\mask04.png
070\RGB\1_05.png 070\RGB\2_05.png 070\GT\mask05.png
070\RGB\1_06.png 070\RGB\2_06.png 070\GT\mask06.png
070\RGB\1_07.png 070\RGB\2_07.png 070\GT\mask07.png
070\RGB\1_08.png 070\RGB\2_08.png 070\GT\mask08.png
071\RGB\1_00.png 071\RGB\2_00.png 071\GT\mask00.png
071\RGB\1_01.png 071\RGB\2_01.png 071\GT\mask01.png
071\RGB\1_02.png 071\RGB\2_02.png 071\GT\mask02.png
071\RGB\1_03.png 071\RGB\2_03.png 071\GT\mask03.png
071\RGB\1_04.png 071\RGB\2_04.png 071\GT\mask04.png
071\RGB\1_05.png 071\RGB\2_05.png 071\GT\mask05.png
071\RGB\1_06.png 071\RGB\2_06.png 071\GT\mask06.png
071\RGB\1_07.png 071\RGB\2_07.png 071\GT\mask07.png
071\RGB\1_08.png 071\RGB\2_08.png 071\GT\mask08.png
071\RGB\1_09.png 071\RGB\2_09.png 071\GT\mask09.png
071\RGB\1_10.png 071\RGB\2_10.png 071\GT\mask10.png
071\RGB\1_11.png 071\RGB\2_11.png 071\GT\mask11.png
071\RGB\1_12.png 071\RGB\2_12.png 071\GT\mask12.png
071\RGB\1_13.png 071\RGB\2_13.png 071\GT\mask13.png
071\RGB\1_14.png 071\RGB\2_14.png 071\GT\mask14.png
071\RGB\1_15.png 071\RGB\2_15.png 071\GT\mask15.png
071\RGB\1_16.png 071\RGB\2_16.png 071\GT\mask16.png
071\RGB\1_17.png 071\RGB\2_17.png 071\GT\mask17.png
071\RGB\1_18.png 071\RGB\2_18.png 071\GT\mask18.png
071\RGB\1_19.png 071\RGB\2_19.png 071\GT\mask19.png
071\RGB\1_20.png 071\RGB\2_20.png 071\GT\mask20.png
072\RGB\1_00.png 072\RGB\2_00.png 072\GT\mask00.png
072\RGB\1_01.png 072\RGB\2_01.png 072\GT\mask01.png
072\RGB\1_02.png 072\RGB\2_02.png 072\GT\mask02.png
072\RGB\1_03.png 072\RGB\2_03.png 072\GT\mask03.png
072\RGB\1_04.png 072\RGB\2_04.png 072\GT\mask04.png
072\RGB\1_05.png 072\RGB\2_05.png 072\GT\mask05.png
072\RGB\1_06.png 072\RGB\2_06.png 072\GT\mask06.png
072\RGB\1_07.png 072\RGB\2_07.png 072\GT\mask07.png
072\RGB\1_08.png 072\RGB\2_08.png 072\GT\mask08.png
072\RGB\1_09.png 072\RGB\2_09.png 072\GT\mask09.png
072\RGB\1_10.png 072\RGB\2_10.png 072\GT\mask10.png
072\RGB\1_11.png 072\RGB\2_11.png 072\GT\mask11.png
072\RGB\1_12.png 072\RGB\2_12.png 072\GT\mask12.png
072\RGB\1_13.png 072\RGB\2_13.png 072\GT\mask13.png
073\RGB\1_00.png 073\RGB\2_00.png 073\GT\mask00.png
073\RGB\1_01.png 073\RGB\2_01.png 073\GT\mask01.png
073\RGB\1_02.png 073\RGB\2_02.png 073\GT\mask02.png
073\RGB\1_03.png 073\RGB\2_03.png 073\GT\mask03.png
073\RGB\1_04.png 073\RGB\2_04.png 073\GT\mask04.png
073\RGB\1_05.png 073\RGB\2_05.png 073\GT\mask05.png
073\RGB\1_06.png 073\RGB\2_06.png 073\GT\mask06.png
074\RGB\1_00.png 074\RGB\2_00.png 074\GT\mask00.png
074\RGB\1_01.png 074\RGB\2_01.png 074\GT\mask01.png
074\RGB\1_02.png 074\RGB\2_02.png 074\GT\mask02.png
074\RGB\1_03.png 074\RGB\2_03.png 074\GT\mask03.png
074\RGB\1_04.png 074\RGB\2_04.png 074\GT\mask04.png
074\RGB\1_05.png 074\RGB\2_05.png 074\GT\mask05.png
074\RGB\1_06.png 074\RGB\2_06.png 074\GT\mask06.png
074\RGB\1_07.png 074\RGB\2_07.png 074\GT\mask07.png
074\RGB\1_08.png 074\RGB\2_08.png 074\GT\mask08.png
074\RGB\1_09.png 074\RGB\2_09.png 074\GT\mask09.png
074\RGB\1_10.png 074\RGB\2_10.png 074\GT\mask10.png
074\RGB\1_11.png 074\RGB\2_11.png 074\GT\mask11.png
